日付,貯水位,揚圧力_No.4,変形量,変形量特徴量1,変形量特徴量2_WL,変形量特徴量2_temp,揚圧力_No.4特徴量1
2003/1/1,230.95,Nan,-3.8,0.984558065,-0.186312024,0.871791119,107.3017218
2003/1/2,231.23,Nan,-3.6,0.983771417,-0.185581215,0.872071363,107.3017218
2003/1/3,231.37,Nan,-3.3,0.983029037,-0.185263572,0.872397196,107.3017218
2003/1/4,231.52,Nan,-3.4,0.982441371,-0.184614667,0.872474792,107.3017218
2003/1/5,231.63,Nan,-3.1,0.981786371,-0.184088352,0.872627179,107.3017218
2003/1/6,231.71,Nan,-2.9,0.981096676,-0.18402392,0.872998874,107.3017218
2003/1/7,231.54,Nan,-3,0.980398305,-0.18383755,0.873703931,107.3017218
2003/1/8,231.37,Nan,-3,0.979626201,-0.183481286,0.873833478,107.3017218
2003/1/9,231.16,Nan,-3.2,0.978806784,-0.183092871,0.873972415,107.3017218
2003/1/10,230.96,Nan,-3.3,0.977913521,-0.182600077,0.874419966,107.3017218
2003/1/11,230.75,Nan,-3.4,0.97693243,-0.182074968,0.874763028,107.3017218
2003/1/12,230.55,Nan,-3.4,0.975821179,-0.181642679,0.87528826,107.3017218
2003/1/13,230.32,Nan,-3.5,0.974607796,-0.181187848,0.876104751,107.3017218
2003/1/14,230.17,Nan,-3.7,0.973487421,-0.180860895,0.876837787,107.3017218
2003/1/15,230.06,Nan,-3.7,0.972359234,-0.18107998,0.877813548,107.3017218
2003/1/16,230.03,Nan,-3.6,0.971199065,-0.180944985,0.878531892,107.3017218
2003/1/17,229.89,Nan,-3.7,0.970125281,-0.180810552,0.87888553,107.3017218
2003/1/18,229.72,Nan,-3.7,0.968872293,-0.18075182,0.879680536,107.3017218
2003/1/19,229.58,Nan,-3.8,0.967462241,-0.180470099,0.880606498,107.3017218
2003/1/20,229.41,0.9,-3.7,0.965863962,-0.180014358,0.882030314,98.02346858
2003/1/21,229.18,0.897419355,-3.9,0.96431271,-0.180127316,0.883406551,92.8670353
2003/1/22,228.94,0.89483871,-3.9,0.962697501,-0.180138719,0.884079975,89.56559083
2003/1/23,228.67,0.892258065,-4.2,0.962197142,-0.181453419,0.883611412,93.74119213
2003/1/24,228.42,0.889677419,-4.4,0.96222724,-0.183690671,0.883378279,91.82231287
2003/1/25,228.16,0.887096774,-4.5,0.962207199,-0.185821429,0.883262887,90.35082649
2003/1/26,227.91,0.884516129,-4.6,0.962069063,-0.187644352,0.883153094,89.19563679
2003/1/27,227.82,0.881935484,-4.6,0.961794747,-0.190076893,0.882598998,88.37398612
2003/1/28,227.66,0.879354839,-4.8,0.961374139,-0.191445654,0.882132409,87.75517095
2003/1/29,227.58,0.876774194,-4.7,0.960758292,-0.193542474,0.881421265,87.32860178
2003/1/30,227.39,0.874193548,-4.7,0.959912676,-0.195191666,0.880865177,86.99940548
2003/1/31,227.11,0.871612903,-4.8,0.958749098,-0.196083758,0.880681702,86.71487328
2003/2/1,226.86,0.869032258,-4.9,0.957414584,-0.1969719,0.88054522,86.48044738
2003/2/2,226.66,0.866451613,-5.1,0.955993174,-0.197998438,0.880276696,86.30277738
2003/2/3,226.65,0.863870968,-5,0.954406055,-0.198478347,0.880659385,86.20957788
2003/2/4,226.2,0.861290323,-5.2,0.952702047,-0.198938734,0.881104135,86.1083757
2003/2/5,225.66,0.858709677,-5.3,0.9509687,-0.199664856,0.881408109,86.0088403
2003/2/6,225.07,0.856129032,-5.7,0.949176183,-0.200547034,0.881384717,85.9332124
2003/2/7,224.57,0.853548387,-6.1,0.947370033,-0.201440028,0.881294912,85.90991706
2003/2/8,224.08,0.850967742,-6.4,0.945586821,-0.202126904,0.881633413,85.95597374
2003/2/9,223.65,0.848387097,-6.6,0.94372484,-0.202880046,0.881691657,86.08244998
2003/2/10,223.31,0.845806452,-6.8,0.941831504,-0.203431897,0.882038216,86.28912398
2003/2/11,222.71,0.843225806,-7.1,0.940071019,-0.204359965,0.881439754,86.61503037
2003/2/12,222.27,0.840645161,-7.4,0.938452084,-0.204994432,0.881120477,87.05046023
2003/2/13,221.59,0.838064516,-7.6,0.936873028,-0.205213178,0.880565319,87.65333492
2003/2/14,220.91,0.835483871,-7.9,0.93524211,-0.205617721,0.879790758,88.44319964
2003/2/15,221.01,0.832903226,-7.9,0.933534807,-0.206787573,0.879315307,89.21704926
2003/2/16,220.61,0.830322581,-8,0.931739167,-0.20809612,0.878967958,90.10321906
2003/2/17,220.16,0.827741935,-8.1,0.929847021,-0.209411362,0.87846727,91.1176019
2003/2/18,219.51,0.82516129,-8.3,0.928030345,-0.211111097,0.87735949,92.33397531
2003/2/19,218.82,0.822580645,-8.5,0.926361397,-0.213212389,0.875274543,93.7740849
2003/2/20,218.13,0.82,-8.7,0.924690988,-0.215760042,0.872770841,95.44182055
2003/2/21,217.45,0.819285714,-8.9,0.92297124,-0.217827193,0.870303966,97.29279882
2003/2/22,217.12,0.818571429,-9.1,0.921326712,-0.220124533,0.867888536,99.17311185
2003/2/23,216.97,0.817857143,-9,0.919592582,-0.222441349,0.865307139,113.0457052
2003/2/24,217.57,0.817142857,-8.7,0.917707528,-0.22472123,0.863120865,114.8933006
2003/2/25,217.3,0.816428571,-8.7,0.915953344,-0.227283976,0.859995197,116.7468222
2003/2/26,217.02,0.815714286,-8.8,0.914346453,-0.230259925,0.856829369,118.6116652
2003/2/27,216.77,0.815,-8.8,0.912684377,-0.233202057,0.853842271,120.4704107
2003/2/28,216.46,0.814285714,-8.9,0.911006522,-0.236074792,0.850068763,122.3565072
2003/3/1,216.15,0.813571429,-8.9,0.909298533,-0.238647719,0.845879577,124.2681826
2003/3/2,216.43,0.812857143,-8.8,0.907457012,-0.241780678,0.842404572,125.8881886
2003/3/3,216.68,0.812142857,-8.7,0.905536022,-0.244207104,0.838817234,127.250318
2003/3/4,216.56,0.811428571,-8.7,0.903610729,-0.246974349,0.835407115,128.5629209
2003/3/5,216.21,0.810714286,-8.9,0.901768299,-0.249510077,0.832400809,129.9472246
2003/3/6,215.98,0.81,-8.9,0.899852073,-0.252573757,0.828840621,131.3378785
2003/3/7,215.74,0.809285714,-8.9,0.898059387,-0.255888582,0.824797205,132.7393751
2003/3/8,215.46,0.808571429,-9,0.896329255,-0.259295843,0.820559301,134.1707952
2003/3/9,216.45,0.807857143,-8.7,0.89436852,-0.262087577,0.817488832,135.0057876
2003/3/10,216.57,0.807142857,-8.5,0.892154628,-0.263702929,0.814826658,135.6995685
2003/3/11,216.1,0.806428571,-8.5,0.889958721,-0.266370081,0.811441308,136.5435035
2003/3/12,215.86,0.805714286,-8.6,0.888205179,-0.269204567,0.807098001,137.4199961
2003/3/13,215.99,0.805,-8.6,0.886512404,-0.272323328,0.802973818,138.1526582
2003/3/14,216.09,0.804285714,-8.5,0.884715307,-0.275592723,0.798291667,138.7626286
2003/3/15,216.14,0.803571429,-8.4,0.882697625,-0.278270017,0.794216187,139.2790278
2003/3/16,215.88,0.802857143,-8.4,0.880691921,-0.281749729,0.789566404,139.8483798
2003/3/17,216.11,0.802142857,-8.3,0.879803576,-0.286711765,0.784245431,140.2455403
2003/3/18,216.3,0.801428571,-8.2,0.879551731,-0.290636859,0.779388732,140.4966987
2003/3/19,216.05,0.800714286,-8.2,0.879517789,-0.295770604,0.774510871,140.8048425
2003/3/20,215.91,0.8,-8.2,0.879496092,-0.297663466,0.770672674,141.1186053
2003/3/21,215.74,0.808571429,-8.1,0.879373875,-0.299544286,0.766544734,141.7878431
2003/3/22,215.87,0.817142857,-8,0.879232532,-0.301438004,0.762515361,142.439919
2003/3/23,215.63,0.825714286,-7.9,0.878792433,-0.303861008,0.758422537,147.5466897
2003/3/24,216.05,0.834285714,-7.7,0.878202808,-0.306450612,0.754862869,147.5220642
2003/3/25,215.82,0.842857143,-7.8,0.877815752,-0.308643572,0.750681358,146.7756229
2003/3/26,215.63,0.851428571,-7.9,0.877635456,-0.310483881,0.74641546,145.0296221
2003/3/27,215.62,0.86,-7.9,0.877519895,-0.312494806,0.742439905,142.104473
2003/3/28,216.06,0.868571429,-7.9,0.877197945,-0.314556723,0.739049392,138.0508778
2003/3/29,217.46,0.877142857,-7.5,0.876823951,-0.316142424,0.736256485,133.3791845
2003/3/30,217.38,0.885714286,-7.5,0.876435836,-0.31740525,0.733224397,127.4400376
2003/3/31,216.85,0.894285714,-7.7,0.875741958,-0.319242066,0.730418629,120.0301232
2003/4/1,217.53,0.902857143,-7.6,0.874728985,-0.320568897,0.727770066,112.1681108
2003/4/2,219.03,0.911428571,-7,0.873409236,-0.320967212,0.725541986,104.7618139
2003/4/3,219.61,0.92,-6.7,0.871414138,-0.321836495,0.723788582,97.36736119
2003/4/4,220.38,0.928571429,-6.2,0.868670802,-0.32266145,0.721936949,90.36183468
2003/4/5,221.48,0.937142857,-6.1,0.866138265,-0.323022971,0.720084327,84.17568819
2003/4/6,221.99,0.945714286,-5.8,0.863934805,-0.323048292,0.717457074,78.42424208
2003/4/7,222.21,0.954285714,-5.8,0.861842563,-0.323684404,0.715356084,72.96325201
2003/4/8,223.48,0.962857143,-5.3,0.859631343,-0.324049989,0.713243162,68.65009742
2003/4/9,225.6,0.971428571,-4.4,0.857533161,-0.324438524,0.711420288,66.00411076
2003/4/10,228.4,0.98,-2.4,0.855344854,-0.324718809,0.710372632,65.26649674
2003/4/11,229.13,0.988571429,-1.8,0.853378667,-0.324683407,0.709855436,64.74616735
2003/4/12,229.71,0.997142857,-1.8,0.851594121,-0.325446761,0.707720601,64.31694107
2003/4/13,231.17,1.005714286,-1.1,0.850268151,-0.326058583,0.705927019,64.4953062
2003/4/14,233.46,1.014285714,0.7,0.849506359,-0.3260646,0.705594264,65.63577113
2003/4/15,234.6,1.022857143,1.7,0.848713625,-0.326599658,0.704728708,66.91937777
2003/4/16,235.65,1.031428571,2.4,0.848534639,-0.326183765,0.705618283,68.25775353
2003/4/17,235.79,1.04,2.4,0.848168142,-0.324863842,0.707642324,69.18495868
2003/4/18,235.93,1.048571429,1.9,0.847802981,-0.324535567,0.708745732,69.77005967
2003/4/19,235.62,1.057142857,1.7,0.847762927,-0.325452505,0.708008614,69.87643354
2003/4/20,235.77,1.065714286,2,0.847601741,-0.3251298,0.708751604,69.78259648
2003/4/21,235.79,1.074285714,2.5,0.847240635,-0.324322395,0.710935409,69.47551188
2003/4/22,235.39,1.082857143,2.5,0.84623874,-0.323361052,0.713848666,68.84050648
2003/4/23,235.6,1.091428571,2.6,0.845145822,-0.322469307,0.71686958,67.8221967
2003/4/24,235.93,1.1,2.6,0.844256309,-0.3223519,0.718650902,67.2071872
2003/4/25,235.93,1.094137931,2.3,0.843571135,-0.322848459,0.718888042,66.81976717
2003/4/26,236.03,1.088275862,2.2,0.842897884,-0.322691744,0.720416786,66.62958665
2003/4/27,235.66,1.082413793,1.8,0.842513372,-0.32252005,0.721334707,66.47263667
2003/4/28,235.53,1.076551724,1.7,0.842161649,-0.32229089,0.722170459,66.39697351
2003/4/29,235.74,1.070689655,1.5,0.842249202,-0.322779477,0.722001192,66.45832154
2003/4/30,235.79,1.064827586,0.9,0.842740707,-0.323846267,0.720245012,66.59881174
2003/5/1,235.79,1.058965517,1.7,0.842810074,-0.324877542,0.719668847,66.79471441
2003/5/2,235.59,1.053103448,1.8,0.842260864,-0.323850645,0.722798194,67.00211794
2003/5/3,235.69,1.047241379,1.4,0.841987293,-0.322933192,0.725838494,67.26622275
2003/5/4,235.89,1.04137931,0.9,0.842031135,-0.322077614,0.727803053,67.59201503
2003/5/5,235.85,1.035517241,0.7,0.841930541,-0.321108969,0.72951764,67.93583397
2003/5/6,235.77,1.029655172,0.3,0.841655449,-0.320919012,0.730400765,68.28872834
2003/5/7,235.65,1.023793103,-0.1,0.841452554,-0.32081966,0.730628639,68.64329828
2003/5/8,235.73,1.017931034,-0.4,0.841460743,-0.32103386,0.729801979,69.02031058
2003/5/9,235.64,1.012068966,0.6,0.841031178,-0.3206441,0.730661731,69.39688424
2003/5/10,235.28,1.006206897,0.5,0.840306616,-0.320633559,0.731307363,69.74483193
2003/5/11,234.94,1.000344828,0.2,0.839499277,-0.32078446,0.731332737,70.06823348
2003/5/12,234.62,0.994482759,-0.6,0.838869792,-0.320821464,0.7313608,70.37032771
2003/5/13,234.29,0.98862069,-0.9,0.838252635,-0.320989581,0.730939781,70.65130316
2003/5/14,233.96,0.982758621,-1.7,0.837704011,-0.322005023,0.729059858,70.91200773
2003/5/15,233.87,0.976896552,-2.2,0.837287352,-0.322878952,0.727703974,71.16872979
2003/5/16,233.75,0.971034483,-2.4,0.836984935,-0.324130877,0.725796423,71.41714094
2003/5/17,233.61,0.965172414,-2.2,0.836643968,-0.324825784,0.72407802,71.65399361
2003/5/18,233.42,0.959310345,-2.4,0.836404261,-0.325403723,0.722859019,71.87491981
2003/5/19,233.31,0.953448276,-2.9,0.836467832,-0.325996724,0.721709954,72.08190367
2003/5/20,233.37,0.947586207,-3,0.836537882,-0.327018123,0.720321582,72.27889532
2003/5/21,233.39,0.941724138,-3.2,0.836581952,-0.328161278,0.718569936,72.46034746
2003/5/22,233.4,0.935862069,-3.2,0.836629071,-0.328856144,0.717299847,72.62219254
2003/5/23,233.35,0.93,-3.4,0.83673566,-0.329407799,0.715974617,73.20631014
2003/5/24,233.35,0.905,-3.4,0.83675559,-0.329729108,0.715478325,73.20443388
2003/5/25,233.49,0.88,-3.5,0.83679439,-0.330708636,0.713519944,72.98605555
2003/5/26,233.6,0.855,-3.6,0.836904213,-0.331627843,0.711838391,72.4752937
2003/5/27,233.63,0.83,-3.7,0.836774421,-0.331629176,0.71161553,71.60779713
2003/5/28,233.68,0.825,-4.1,0.836677664,-0.3320028,0.710629284,70.67734138
2003/5/29,233.7,0.82,-4.7,0.836621187,-0.331938713,0.710584873,69.68682538
2003/5/30,233.69,0.815,-5.1,0.836624596,-0.331902331,0.710382145,68.63975004
2003/5/31,233.55,0.81,-5.4,0.836612364,-0.332095578,0.709903581,67.54780506
2003/6/1,233.86,0.805,-5.1,0.836779375,-0.332107707,0.709794401,66.37807179
2003/6/2,233.85,0.8,-4.8,0.837021824,-0.331993339,0.709978914,65.15770154
2003/6/3,233.58,0.795,-4.9,0.837268864,-0.332061498,0.709891456,63.91141424
2003/6/4,233.24,0.79,-5.2,0.837301985,-0.332547207,0.709356415,62.64923702
2003/6/5,233.02,0.785,-5.8,0.837241032,-0.333053496,0.708526191,61.36460545
2003/6/6,232.94,0.78,-5.8,0.837200024,-0.333286495,0.708174728,60.04845601
2003/6/7,232.86,0.778958333,-6.2,0.837100276,-0.333129302,0.708332155,58.76858693
2003/6/8,232.79,0.777916667,-6.7,0.836951466,-0.332828046,0.708715536,57.52296125
2003/6/9,232.37,0.776875,-7,0.836689322,-0.333084217,0.708177324,56.34192235
2003/6/10,231.78,0.775833333,-7.3,0.836256512,-0.33298078,0.708390741,55.23850157
2003/6/11,231.12,0.774791667,-7.9,0.835712962,-0.33304701,0.708288613,54.21635274
2003/6/12,230.43,0.77375,-8.6,0.835074266,-0.33315011,0.708182207,53.27547136
2003/6/13,229.76,0.772708333,-9.2,0.834279995,-0.333306053,0.707729359,52.41150953
2003/6/14,229.15,0.771666667,-9.6,0.833542961,-0.334071541,0.706830862,51.61685097
2003/6/15,228.44,0.770625,-9.9,0.832917689,-0.334236729,0.706542236,50.8978377
2003/6/16,227.72,0.769583333,-10.4,0.832364629,-0.333944604,0.707050796,50.25292951
2003/6/17,226.89,0.768541667,-10.9,0.831847282,-0.333641193,0.707427592,49.68903919
2003/6/18,226.07,0.7675,-12,0.831247221,-0.333823387,0.707359689,49.20279789
2003/6/19,225.51,0.766458333,-12.8,0.830596275,-0.334679141,0.706864655,48.77029377
2003/6/20,225.06,0.765416667,-13.2,0.829909728,-0.335156094,0.706673736,48.380853
2003/6/21,224.89,0.764375,-12.8,0.829389691,-0.335442496,0.706628432,48.01037213
2003/6/22,224.82,0.763333333,-13,0.828860607,-0.335438901,0.706438656,47.77334408
2003/6/23,224.57,0.762291667,-13.3,0.828172493,-0.335269069,0.706292002,47.43272356
2003/6/24,224.15,0.76125,-13.5,0.827387051,-0.336461693,0.705805171,47.12983139
2003/6/25,223.71,0.760208333,-13.4,0.826790632,-0.337006398,0.705633251,46.86512526
2003/6/26,223.37,0.759166667,-13.1,0.826405522,-0.33755807,0.705511415,46.6295633
